단어,up,down,total,prob_up,prob_down,polarity_score
가격/NNG;상승/NNG;견인/NNG,19,8,26,5.62369434096518e-06,3.2759402255566742e-06,1.7166657367838745
경찰/NNG,87,25,111,2.5750600403366875e-05,1.0237313204864608e-05,2.515367058529635
그러/VV,972,403,1374,0.0002876963631272,0.0001650254888624,1.7433450136125646
압승/NNG,123,10,132,3.640602125993248e-05,4.094925281945843e-06,8.890521499975433
취합/NNG,32,13,44,9.471485205836092e-06,5.323402866529596e-06,1.7792163101889549
목표액/NNG,140,63,202,4.14377477755329e-05,2.579802927625881e-05,1.606236946698362
유가/NNG;불확실성/NNG,26,2,27,7.695581729741824e-06,8.189850563891686e-07,9.396486138185416
심리/NNG;강하/VA,22,6,27,6.511646079012314e-06,2.4569551691675057e-06,2.6502909620522974
노호/NNG,145,56,200,4.29176673389448e-05,2.293158157889672e-05,1.871552870929788
세대수/NNG,14,7,20,4.143774777553291e-06,2.86644769736209e-06,1.445613252028526
자산관리회사/NNG,15,5,19,4.439758690235668e-06,2.0474626409729214e-06,2.168419878042789
수리/NNG,27,7,33,7.991565642424203e-06,2.86644769736209e-06,2.7879684146264427
사옥/NNG,210,104,313,6.215662166329936e-05,4.258722293223677e-05,1.459513379451877
위탁매매/NNG,29,7,35,8.583533467788958e-06,2.86644769736209e-06,2.9944845934876603
신산업/NNG,145,25,169,4.29176673389448e-05,1.0237313204864608e-05,4.192278430882725
갖추/VV,331,179,509,9.797067509786708e-05,7.329916254683059e-05,1.336586554249838
액면가/NNG,49,19,67,1.4503211721436517e-05,7.780358035697102e-06,1.8640802460367831
자릿수/NNG,185,102,286,5.475702384623991e-05,4.17682378758476e-05,1.3109728020846925
주택시장/NNG;침체/NNG,22,9,30,6.511646079012314e-06,3.6854327537512585e-06,1.7668606413681982
오디세이아/NNG,22,7,28,6.511646079012314e-06,2.86644769736209e-06,2.271677967473398
중후반대/NNG,62,26,87,1.835100258630743e-05,1.0646805733059192e-05,1.72361580049555
금리/NNG;하락/NNG;되돌/VV,17,8,24,5.031726515600424e-06,3.2759402255566742e-06,1.5359640802803085
나와야/VV,38,17,54,1.124738868193036e-05,6.961372979307933e-06,1.6156853993259994
지배구조/NNG,175,97,271,5.179718471941613e-05,3.972077523487468e-05,1.3040325727061444
들어갔/VV,106,49,154,3.137429474433206e-05,2.006513388153463e-05,1.563622497092079
아이디어/NNG,70,31,100,2.071887388776645e-05,1.2694268374032111e-05,1.632143994225755
사그라지/VV,23,4,26,6.8076299916946914e-06,1.6379701127783371e-06,4.156138099582011
어렵/VA;우려/NNG,16,5,20,4.735742602918046e-06,2.0474626409729214e-06,2.3129812032456414
기술개발/NNG,63,29,91,1.8646986498989807e-05,1.1875283317642944e-05,1.5702350840999504
순이익/NNG;줄/VV,24,8,31,7.103613904377069e-06,3.2759402255566742e-06,2.168419878042789
변동성/NNG;낮/VV,26,9,34,7.695581729741824e-06,3.6854327537512585e-06,2.0881080307078705
용품/NNG,54,22,75,1.5983131284848406e-05,9.008835620280857e-06,1.7741617183986451
동선/NNG,28,13,40,8.287549555106581e-06,5.323402866529596e-06,1.5568142714153357
가격전가/NNG,22,6,27,6.511646079012314e-06,2.4569551691675057e-06,2.6502909620522974
싱글/MAG,26,2,27,7.695581729741824e-06,8.189850563891686e-07,9.396486138185416
직속/NNG,34,6,39,1.0063453031200847e-05,2.4569551691675057e-06,4.095904214080822
포대/NNG,16,4,19,4.735742602918046e-06,1.6379701127783371e-06,2.891226504057052
안간힘/NNG,23,10,32,6.8076299916946914e-06,4.094925281945843e-06,1.6624552398328047
분양보증/NNG,31,13,43,9.175501293153715e-06,5.323402866529596e-06,1.72361580049555
공모금액/NNG,20,4,23,5.9196782536475576e-06,1.6379701127783371e-06,3.614033130071314
배당률/NNG,57,24,80,1.687108302289554e-05,9.827820676670024e-06,1.7166657367838745
물가/NNG;상방/NNG;압력/NNG,18,9,26,5.327710428282802e-06,3.6854327537512585e-06,1.445613252028526
큐레이션/NNG,16,3,18,4.735742602918046e-06,1.2284775845837528e-06,3.854968672076069
판매가격/NNG;하락/NNG,17,7,23,5.031726515600424e-06,2.86644769736209e-06,1.7553875203203526
방점/NNG,61,24,84,1.805501867362505e-05,9.827820676670024e-06,1.837133507786252
기록/NNG,12669,6329,18997,0.003749820189773,0.0025916782109435,1.4468695125572282
성원/NNG,58,9,66,1.7167066935577917e-05,3.6854327537512585e-06,4.65808714542525
총자본비율/NNG,83,41,123,2.4566664752637364e-05,1.6789193655977957e-05,1.4632426819313125
아시아개발은행/NNG,50,12,61,1.4799195634118895e-05,4.913910338335011e-06,3.011694275059429
적립식/NNG,84,21,104,2.486264866531974e-05,8.59934309208627e-06,2.891226504057052
지방은행/NNG,164,63,226,4.8541361679909975e-05,2.579802927625881e-05,1.8815918518466528
투자/NNG;활성화/NNG,34,18,51,1.0063453031200847e-05,7.370865507502517e-06,1.3653014046936076
손바뀜/NNG,52,18,69,1.539116345948365e-05,7.370865507502517e-06,2.0881080307078705
공부/NNG,42,23,64,1.243132433265987e-05,9.41832814847544e-06,1.319907751852132
인건비/NNG;증가/NNG,17,3,19,5.031726515600424e-06,1.2284775845837528e-06,4.095904214080822
직군/NNG,28,4,31,8.287549555106581e-06,1.6379701127783371e-06,5.0596463820998405
제조업/NNG;pmi/NNG;호조/NNG,14,4,17,4.143774777553291e-06,1.6379701127783371e-06,2.5298231910499203
매출/NNG;감소/NNG,97,39,135,2.8710439530190657e-05,1.597020859958879e-05,1.7977498134200895
방중/NNG,25,4,28,7.399597817059448e-06,1.6379701127783371e-06,4.517541412589144
사후관리/NNG,24,13,36,7.103613904377069e-06,5.323402866529596e-06,1.334412232641716
끈다/VV,113,51,163,3.34461821331087e-05,2.08841189379238e-05,1.6015127203845434
수입업체/NNG,68,7,74,2.012690606240169e-05,2.86644769736209e-06,7.02155008128141
농축/NNG,17,2,18,5.031726515600424e-06,8.189850563891686e-07,6.143856321121234
공방/NNG,86,35,120,2.545461649068449e-05,1.433223848681045e-05,1.7760391382064744
만호/NNG,36,10,45,1.0655420856565604e-05,4.094925281945843e-06,2.6021038536513466
가격/NNG;상승/NNG,249,126,374,7.36999942579121e-05,5.159605855251762e-05,1.4284035704567577
쏠리/VV,300,123,422,8.879517380471337e-05,5.036758096793387e-05,1.76294299027869
비둘기/NNG;완화/NNG,91,20,110,2.693453605409639e-05,8.189850563891686e-06,3.2887701483648963
韓美/NNG,16,4,19,4.735742602918046e-06,1.6379701127783371e-06,2.891226504057052
담긴/VV,66,35,100,1.953493823703694e-05,1.433223848681045e-05,1.363006780484039
고품질/NNG,23,10,32,6.8076299916946914e-06,4.094925281945843e-06,1.6624552398328047
낭비/NNG,33,5,37,9.76746911851847e-06,2.0474626409729214e-06,4.770523731694135
돋보인다/VV,33,12,44,9.76746911851847e-06,4.913910338335011e-06,1.987718221539223
재반/NNG,22,12,33,6.511646079012314e-06,4.913910338335011e-06,1.3251454810261487
연연/NNG,15,7,21,4.439758690235668e-06,2.86644769736209e-06,1.5488713414591349
연출/NNG,146,48,193,4.321365125162717e-05,1.9655641353340045e-05,2.198536820793383
꺼지/VV,53,20,72,1.568714737216603e-05,8.189850563891686e-06,1.9154375589377968
금리/NNG;인하/NNG;가능성/NNG;배제/NNG,57,16,72,1.687108302289554e-05,6.5518804511133485e-06,2.574998605175812
합성etf/NNG,207,49,255,6.126866992525222e-05,2.006513388153463e-05,3.053489216019437
시책/NNG,19,9,27,5.62369434096518e-06,3.6854327537512585e-06,1.525925099363444
스태그플레이션/NNG,222,42,263,6.570842861548788e-05,1.719868618417254e-05,3.820549308932532
손님/NNG,16,6,21,4.735742602918046e-06,2.4569551691675057e-06,1.9274843360380345
실적/NNG;양호/NNG,22,6,27,6.511646079012314e-06,2.4569551691675057e-06,2.6502909620522974
청라/NNG,49,12,60,1.4503211721436517e-05,4.913910338335011e-06,2.9514603895582403
이르/VA,267,145,411,7.90277046861949e-05,5.9376416588214725e-05,1.330961166522815
웨이/NNG,45,25,69,1.3319276070707004e-05,1.0237313204864608e-05,1.3010519268256733
상의/NNG,19,7,25,5.62369434096518e-06,2.86644769736209e-06,1.9619036991815708
풋옵션/NNG,36,14,49,1.0655420856565604e-05,5.73289539472418e-06,1.8586456097509616
이자/NNG;부담/NNG;줄/VV,24,13,36,7.103613904377069e-06,5.323402866529596e-06,1.334412232641716
실업보험/NNG,60,14,73,1.7759034760942674e-05,5.73289539472418e-06,3.0977426829182697
재간접/NNG,20,10,29,5.9196782536475576e-06,4.094925281945843e-06,1.445613252028526
상승률/NNG;높/VA,27,10,36,7.991565642424203e-06,4.094925281945843e-06,1.95157789023851
탄력세율/NNG,17,5,21,5.031726515600424e-06,2.0474626409729214e-06,2.457542528448493
금리/NNG;인상/NNG;어렵/VA,41,20,60,1.2135340419977494e-05,8.189850563891686e-06,1.481753583329239
닷컴/NNG;거품/NNG,21,6,26,6.215662166329935e-06,2.4569551691675057e-06,2.52982319104992
매파/NNG;금리/NNG;인하/NNG,26,2,27,7.695581729741824e-06,8.189850563891686e-07,9.396486138185416
금리/NNG;떨어/VV,103,37,139,3.048634300628492e-05,1.515122354319962e-05,2.0121373643099747
s&p/NNG,1533,817,2349,0.000453743338142,0.0003345553955349,1.3562577205383903
상품지수/NNG,14,5,18,4.143774777553291e-06,2.0474626409729214e-06,2.023858552839936
예상/NNG;소폭/MAG;밑돌/VV,17,5,21,5.031726515600424e-06,2.0474626409729214e-06,2.457542528448493
폭주/NNG,17,3,19,5.031726515600424e-06,1.2284775845837528e-06,4.095904214080822
골디락스/NNG,97,31,127,2.8710439530190657e-05,1.2694268374032111e-05,2.2616852491414035
선납금/NNG,40,2,41,1.1839356507295117e-05,8.189850563891686e-07,14.456132520285257
연식/NNG,17,4,20,5.031726515600424e-06,1.6379701127783371e-06,3.071928160560617
매수인/NNG,20,6,25,5.9196782536475576e-06,2.4569551691675057e-06,2.409355420047543
흔하/VA,28,15,42,8.287549555106581e-06,6.142387922918765e-06,1.349239035226624
평점/NNG,64,12,75,1.8942970411672184e-05,4.913910338335011e-06,3.854968672076069
부동산/NNG;하락/NNG,14,7,20,4.143774777553291e-06,2.86644769736209e-06,1.445613252028526
내수/NNG;둔화/NNG,32,17,48,9.471485205836092e-06,6.961372979307933e-06,1.3605771783797889
녹지/NNG,39,13,51,1.1543372594612738e-05,5.323402866529596e-06,2.168419878042789
표하/VV,27,11,37,7.991565642424203e-06,4.504417810140428e-06,1.7741617183986451
항공료/NNG,31,4,34,9.175501293153715e-06,1.6379701127783371e-06,5.601751351610538
이탈/NNG;막/VV,15,3,17,4.439758690235668e-06,1.2284775845837528e-06,3.614033130071314
변액/NNG,27,14,40,7.991565642424203e-06,5.73289539472418e-06,1.3939842073132214
금리/NNG;제약/NNG,15,7,21,4.439758690235668e-06,2.86644769736209e-06,1.5488713414591349
박차/NNG,95,25,119,2.81184717048259e-05,1.0237313204864608e-05,2.746665178854199
마일/NNG,46,23,68,1.3615259983389385e-05,9.41832814847544e-06,1.4456132520285256
