단어,up,down,total,prob_up,prob_down,polarity_score
유로존/NNG;개선/NNG,11,11,21,3.255823039506157e-06,4.504417810140428e-06,0.7228066260142628
인해서/VV,28,49,76,8.287549555106581e-06,2.006513388153463e-05,0.4130323577224359
물가/NNG;상승률/NNG;농산물/NNG;가격/NNG;하락/NNG,6,21,26,1.7759034760942673e-06,8.59934309208627e-06,0.2065161788612179
예민/NNG,28,29,56,8.287549555106581e-06,1.1875283317642944e-05,0.697882259599978
가닥/NNG,21,29,49,6.215662166329935e-06,1.1875283317642944e-05,0.5234116946999834
고소득층/NNG,19,27,45,5.62369434096518e-06,1.1056298261253776e-05,0.5086416997878146
채무보증/NNG,12,22,33,3.5518069521885345e-06,9.008835620280857e-06,0.3942581596441433
그라운드/NNG,4,15,18,1.1839356507295115e-06,6.142387922918765e-06,0.1927484336038034
목록/NNG,41,49,89,1.2135340419977494e-05,2.006513388153463e-05,0.6047973809507098
환위험/NNG,52,52,103,1.539116345948365e-05,2.1293611466118384e-05,0.7228066260142628
투기성/NNG,20,20,39,5.9196782536475576e-06,8.189850563891686e-06,0.7228066260142629
경제주체/NNG;심리/NNG;위축/NNG,14,21,34,4.143774777553291e-06,8.59934309208627e-06,0.4818710840095087
슬러/VV,5,16,20,1.4799195634118894e-06,6.5518804511133485e-06,0.2258770706294571
파생시장/NNG,23,27,49,6.8076299916946914e-06,1.1056298261253776e-05,0.6157241629010387
위험/NNG;높/VA,50,50,99,1.4799195634118895e-05,2.0474626409729213e-05,0.7228066260142629
예상/NNG;달리/MAG;금리/NNG;인하/NNG,8,10,17,2.367871301459023e-06,4.094925281945843e-06,0.5782453008114103
기대/NNG;하락/NNG,6,23,28,1.7759034760942673e-06,9.41832814847544e-06,0.1885582502645903
개막/NNG,53,62,114,1.568714737216603e-05,2.5388536748064223e-05,0.6178830835283216
덕택/NNG,27,28,54,7.991565642424203e-06,1.146579078944836e-05,0.6969921036566107
버그/NNG,15,15,29,4.439758690235668e-06,6.142387922918765e-06,0.7228066260142628
